Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,4.290000,4.395000,4.225000,4.395000,3.801621,16671245
2021-03-25,4.380000,4.381000,4.273000,4.356000,3.767887,12275900
2021-03-26,4.420000,4.480000,4.378000,4.433000,3.834491,18252624
2021-03-29,4.400000,4.462000,4.365000,4.367000,3.777402,16581640
2021-03-30,4.424000,4.510000,4.424000,4.499000,3.891580,17184277
2021-03-31,4.460000,4.522000,4.426000,4.426000,3.828436,12792146
2021-04-01,4.457000,4.484000,4.428000,4.445500,3.845303,9423887
2021-04-06,4.531000,4.593000,4.500000,4.526500,3.915368,15071444
2021-04-07,4.509000,4.566000,4.489000,4.518000,3.908015,11160563
2021-04-08,4.556000,4.564500,4.443500,4.538500,3.925747,15852148
2021-04-09,4.535000,4.562000,4.431000,4.431000,3.832761,17166477
2021-04-12,4.410000,4.478500,4.360000,4.477000,3.872550,14217346
2021-04-13,4.457000,4.512500,4.388000,4.421000,3.824111,16116832
2021-04-14,4.428500,4.496000,4.404500,4.485500,3.879903,11575796
2021-04-15,4.491500,4.506000,4.337500,4.337500,3.751884,16772431
2021-04-16,4.373000,4.410000,4.325500,4.362500,3.773510,25299177
2021-04-19,4.380000,4.538500,4.357500,4.513500,3.904123,24009159
2021-04-20,4.500500,4.524000,4.303000,4.312500,3.730260,27005849
2021-04-21,4.324000,4.386000,4.224000,4.285500,3.706905,28404164
2021-04-22,4.298500,4.418000,4.280000,4.400500,3.806379,15758197
2021-04-23,4.390000,4.447000,4.320000,4.333000,3.747992,10244333
2021-04-26,4.363500,4.481500,4.320000,4.478500,3.873847,19905310
2021-04-27,4.434000,4.490000,4.360000,4.485000,3.931261,19346268
2021-04-28,4.570000,4.660000,4.424000,4.492500,3.937835,32283073
2021-04-29,4.520000,4.620500,4.494500,4.550500,3.988673,18170890
2021-04-30,4.540500,4.720000,4.470000,4.670500,4.093858,23622902
2021-05-03,4.652500,4.710000,4.630000,4.676000,4.098679,11349378
2021-05-04,4.700000,4.795000,4.643500,4.665000,4.089037,22502585
2021-05-05,4.735500,4.795500,4.700000,4.772500,4.183264,16996685
2021-05-06,4.770000,4.806500,4.710500,4.806500,4.213067,15459849
2021-05-07,4.820000,4.860000,4.727500,4.821500,4.226214,13968168
2021-05-10,4.869500,4.965500,4.844500,4.928000,4.319566,19672113
2021-05-11,4.875500,4.950000,4.846000,4.909000,4.302911,13871899
2021-05-12,4.890000,4.947500,4.826500,4.903000,4.297652,17755129
2021-05-13,4.835000,4.922500,4.801000,4.892000,4.288011,15496774
2021-05-14,4.930000,5.028000,4.925000,5.028000,4.407219,23649851
2021-05-17,5.000000,5.044000,4.951000,5.008000,4.389688,12019135
2021-05-18,5.050000,5.129000,5.044000,5.125000,4.492243,21833300
2021-05-19,5.050000,5.107000,4.928000,4.995500,4.378732,21935438
2021-05-20,5.011000,5.039000,4.928500,5.003000,4.385306,12774418
2021-05-21,5.010000,5.140000,5.009000,5.121000,4.488737,17745397
2021-05-24,5.126000,5.143000,5.053000,5.100000,4.470330,23687278
2021-05-25,5.100000,5.153000,5.078000,5.110000,4.479095,13294237
2021-05-26,5.095000,5.126000,5.011000,5.084000,4.456305,20118795
2021-05-27,5.080000,5.197000,5.073000,5.143000,4.508021,28763225
2021-05-28,5.200000,5.200000,5.090000,5.126000,4.493120,17136855
2021-05-31,5.151000,5.172000,5.131000,5.136000,4.501885,5860234
2021-06-01,5.153000,5.247000,5.141000,5.226000,4.580774,15340313
2021-06-02,5.217000,5.280000,5.168000,5.249000,4.600934,31789391
2021-06-03,5.228000,5.295000,5.222000,5.286000,4.633365,17316609
2021-06-04,5.290000,5.293000,5.210000,5.217000,4.572885,28100848
2021-06-07,5.219000,5.341000,5.210000,5.328000,4.670180,13033939
2021-06-08,5.350000,5.398000,5.260000,5.313000,4.657032,14754023
2021-06-09,5.291000,5.301000,5.196000,5.265000,4.614958,10983054
2021-06-10,5.271000,5.351000,5.240000,5.273000,4.621970,15075048
2021-06-11,5.250000,5.276000,5.224000,5.246000,4.598304,8086048
2021-06-14,5.258000,5.343000,5.258000,5.343000,4.683328,17337872
2021-06-15,5.345000,5.378000,5.292000,5.370000,4.706994,22940752
2021-06-16,5.413000,5.440000,5.286000,5.309000,4.653526,15058342
2021-06-17,5.360000,5.548000,5.359000,5.397000,4.730661,25333802
2021-06-18,5.320000,5.381000,5.183000,5.222000,4.577268,52514651
2021-06-21,5.120000,5.265000,5.090000,5.238000,4.591291,23520257
2021-06-22,5.298000,5.298000,5.188000,5.278000,4.626353,13830238
2021-06-23,5.300000,5.340000,5.270000,5.270000,4.619341,12679182
2021-06-24,5.289000,5.393000,5.283000,5.330000,4.671933,20442645
2021-06-25,5.370000,5.437000,5.329000,5.431000,4.760463,15899536
2021-06-28,5.426000,5.440000,5.277000,5.277000,4.625476,14757515
2021-06-29,5.277000,5.338000,5.264000,5.292000,4.638625,8637147
2021-06-30,5.255000,5.287000,5.188000,5.228000,4.582526,21850283
2021-07-01,5.290000,5.409000,5.284000,5.409000,4.741179,13174031
2021-07-02,5.400000,5.424000,5.286000,5.295000,4.641254,10122214
2021-07-05,5.295000,5.439000,5.295000,5.429000,4.758710,7540236
2021-07-06,5.406000,5.438000,5.276000,5.284000,4.631612,14087349
2021-07-07,5.290000,5.306000,5.162000,5.220000,4.575514,16897228
2021-07-08,5.150000,5.159000,5.018000,5.049000,4.425626,20123985
2021-07-09,5.080000,5.227000,5.045000,5.227000,4.581650,12218060
2021-07-12,5.243000,5.268000,5.126000,5.258000,4.608822,13774331
